HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,season
Man Utd,Brentford,1.72,4.0,4.5,1.72,2022-23
Brentford,Southampton,2.15,3.5,3.3,1.95,2022-23
Burnley,Aston Villa,3.0,3.3,2.4,2.07,2022-23
Chelsea,Wolves,1.33,5.0,9.5,1.93,2022-23
Crystal Palace,Watford,1.65,4.0,5.0,1.99,2022-23
Brighton,Man Utd,2.8,3.5,2.45,1.95,2022-23
Liverpool,Spurs,1.4,5.0,7.0,1.53,2022-23
Arsenal,Leeds,1.45,4.5,7.0,1.61,2022-23
Leicester,Everton,2.6,3.3,2.75,2.01,2022-23
Norwich,West Ham,4.5,3.8,1.75,1.85,2022-23
Man City,Newcastle,1.16,7.0,17.0,1.5,2022-23
Aston Villa,Liverpool,7.5,4.75,1.4,1.61,2022-23
Leeds,Chelsea,4.75,4.2,1.65,1.61,2022-23
Leicester,Norwich,1.44,4.75,7.0,1.61,2022-23
Watford,Everton,4.2,3.6,1.83,1.94,2022-23
Wolves,Man City,11.0,6.0,1.25,1.66,2022-23
Spurs,Arsenal,2.05,3.75,3.5,1.8,2022-23
Spurs,Burnley,1.33,5.25,9.0,1.57,2022-23
Aston Villa,Crystal Palace,2.0,3.5,3.75,1.93,2022-23
Leeds,Brighton,2.62,3.5,2.62,1.84,2022-23
Watford,Leicester,3.8,3.5,1.95,1.72,2022-23
West Ham,Man City,7.5,5.0,1.4,1.53,2022-23
Wolves,Norwich,1.45,4.75,6.5,1.86,2022-23
Everton,Brentford,2.05,3.6,3.5,2.03,2022-23
Newcastle,Arsenal,4.33,3.6,1.83,1.9,2022-23
Southampton,Liverpool,7.5,5.5,1.33,1.44,2022-23
Everton,Crystal Palace,1.9,3.4,4.33,2.0,2022-23
Aston Villa,Burnley,2.05,3.5,3.6,1.99,2022-23
Chelsea,Leicester,1.4,4.75,8.0,1.61,2022-23
Arsenal,Everton,1.36,4.75,9.0,1.57,2022-23
Brentford,Leeds,2.45,3.8,2.62,1.57,2022-23
Brighton,West Ham,2.37,3.5,2.9,1.72,2022-23
Burnley,Newcastle,2.25,3.4,3.2,1.94,2022-23
Chelsea,Watford,1.18,7.5,15.0,1.44,2022-23
Crystal Palace,Man Utd,3.0,3.6,2.25,1.72,2022-23
Leicester,Southampton,1.85,4.0,3.8,1.57,2022-23
Liverpool,Wolves,1.14,8.5,15.0,1.44,2022-23
Man City,Aston Villa,1.16,8.0,17.0,1.44,2022-23
Norwich,Spurs,9.5,6.5,1.25,1.44,2022-23
